Date,Open,High,Low,Close,Adj Close,Volume
2000-07-28,77.734375,77.734375,75.000000,75.531250,66.569023,4300
2000-07-31,75.125000,76.312500,75.125000,76.312500,67.257553,51100
2000-08-01,76.375000,76.750000,75.562500,75.562500,66.596519,47600
2000-08-02,76.000000,77.093750,75.921875,75.921875,66.913254,1000
2000-08-03,74.250000,75.375000,73.906250,75.031250,66.128342,16000
2000-08-04,76.375000,76.937500,76.343750,76.718750,67.615555,145700
2000-08-07,77.687500,78.437500,77.265625,78.203125,68.923843,168200
2000-08-08,77.953125,78.609375,77.453125,77.453125,68.262825,7800
2000-08-09,78.390625,78.500000,77.250000,77.265625,68.097603,47600
2000-08-10,76.312500,76.718750,75.968750,75.968750,66.954575,1600
2000-08-11,76.125000,76.531250,75.281250,76.531250,67.450371,1500
2000-08-14,77.875000,78.187500,77.500000,78.000000,68.744820,20600
2000-08-15,78.484375,78.484375,77.375000,77.375000,68.194000,4100
2000-08-16,78.125000,78.328125,77.812500,78.250000,68.965126,60100
2000-08-17,77.875000,79.156250,77.875000,78.937500,69.571068,21400
2000-08-18,79.312500,79.609375,78.968750,78.968750,69.598633,14300
2000-08-21,79.968750,79.968750,79.343750,79.343750,69.929115,2200
2000-08-22,80.000000,80.187500,79.562500,79.562500,70.121956,2300
2000-08-23,79.546875,79.875000,79.546875,79.875000,70.397316,12900
2000-08-24,80.812500,81.500000,80.812500,81.218750,71.581627,13000
2000-08-25,81.625000,81.875000,81.437500,81.750000,72.049858,63000
2000-08-28,82.281250,82.875000,81.937500,82.437500,72.655777,57700
2000-08-29,82.968750,83.250000,82.250000,83.015625,73.165298,34000
2000-08-30,83.000000,83.875000,83.000000,83.500000,73.592201,84300
2000-08-31,84.000000,85.125000,84.000000,84.812500,74.748947,45000
2000-09-01,86.500000,86.500000,84.750000,85.515625,75.368721,132100
2000-09-05,85.500000,85.921875,84.875000,84.875000,74.804070,154400
2000-09-06,84.843750,84.937500,83.671875,83.703125,73.771210,62300
2000-09-07,84.359375,85.250000,84.359375,85.078125,74.983070,14800
2000-09-08,84.562500,84.687500,83.312500,83.312500,73.426949,64800
2000-09-11,82.750000,84.250000,82.531250,82.531250,72.738388,25900
2000-09-12,83.281250,83.359375,82.421875,82.421875,72.642014,2000
2000-09-13,81.640625,82.812500,81.640625,82.812500,72.986282,2400
2000-09-14,83.843750,84.500000,83.703125,83.875000,73.922714,4700
2000-09-15,83.312500,83.312500,82.218750,82.218750,72.462990,4600
2000-09-18,82.000000,82.000000,79.531250,79.578125,70.135712,6700
2000-09-19,80.031250,80.843750,79.640625,80.843750,71.251137,1700
2000-09-20,81.093750,81.125000,80.625000,80.765625,71.191109,1400
2000-09-21,80.968750,80.968750,79.750000,80.062500,70.571312,39100
2000-09-22,77.500000,80.062500,77.500000,80.062500,70.571312,22400
2000-09-25,81.156250,81.609375,80.062500,80.062500,70.571312,11500
2000-09-26,79.625000,79.625000,78.875000,78.875000,69.524590,19200
2000-09-27,79.812500,79.875000,78.265625,78.265625,68.987434,150900
2000-09-28,79.187500,81.375000,79.187500,81.375000,71.728233,29500
2000-09-29,80.750000,81.000000,80.500000,80.906250,71.315063,152900
2000-10-02,80.812500,80.812500,78.375000,78.625000,69.304214,121000
2000-10-03,78.000000,78.687500,78.000000,78.375000,69.083893,17700
2000-10-04,75.750000,77.625000,75.750000,77.625000,68.422745,1900
2000-10-05,77.812500,77.812500,77.140625,77.140625,67.995804,800
2000-10-06,74.984375,74.984375,73.625000,73.843750,65.089767,41200
2000-10-09,72.750000,73.250000,71.968750,72.968750,64.318504,167300
2000-10-10,73.359375,73.671875,71.500000,71.500000,63.023865,28500
2000-10-11,70.593750,71.296875,69.937500,70.609375,62.238842,4100
2000-10-12,71.000000,71.093750,68.062500,68.343750,60.241795,4200
2000-10-13,68.031250,72.000000,67.656250,71.687500,63.189159,23500
